housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,energy_mark,area,availability_in,days_on_website,months_on_website,monthly_rent_log,monthly_aconto_log,deposit_log,prepaid_rent_log,total_monthly_rent_log
Lejlighed,86.0,3,0,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A15,Ishøj,<1 month,15.0,<1 month,9.38437770918244,6.90875477931522,10.482933978579906,9.38437770918244,9.465060106725137
Lejlighed,55.0,2,2,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,Ishøj,<1 month,15.0,<1 month,9.23024103368252,6.478509642208569,10.328787967145063,9.23024103368252,9.292012520620208
Lejlighed,33.0,1,2,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Nej,Nej,Nej,none,København S,<1 month,15.0,<1 month,9.093918908958932,6.654152520183219,10.192456296870509,9.093918908958932,9.177403871729918
Lejlighed,53.0,2,3,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ja,Ikke angivet,C,Frederiksberg,1-3 months,15.0,<1 month,8.77971129020447,0.0,0.0,8.77971129020447,8.77971129020447
Værelse,14.0,1,1,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,C,København V,<1 month,15.0,<1 month,8.476579508530941,5.5254529391317835,8.517393171418904,0.0,8.527341522468053
Lejlighed,98.0,4,0,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,A15,Rødovre,3+ months,15.0,<1 month,9.54652685348758,6.957497370876951,10.645091508364267,9.54652685348758,9.618867454120167
Lejlighed,32.0,1,3,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ikke angivet,Ja,Ikke angivet,Ja,A10,København N,<1 month,15.0,<1 month,9.11063052782717,5.993961427306569,10.209169157096309,9.11063052782717,9.153875834995056
Lejlighed,114.0,4,4,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ja,B,København Ø,1-3 months,15.0,<1 month,10.203629181337648,6.8679744089702925,10.896757843893464,11.302216779257382,10.238565961087293
Værelse,25.0,1,1,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,C,København NV,<1 month,15.0,<1 month,8.682877107057168,0.0,9.781376414141157,0.0,8.682877107057168
Lejlighed,95.0,4,4,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ja,Ja,none,Glostrup,3+ months,15.0,<1 month,9.503084610020228,6.90875477931522,10.196194479235656,0.0,9.575052927597383
Lejlighed,86.0,3,4,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ja,Ja,none,Glostrup,3+ months,15.0,<1 month,9.421492310438014,6.68586094706836,10.114599007626499,0.0,9.484253080341965
Lejlighed,62.0,2,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ja,Ja,none,Glostrup,3+ months,15.0,<1 month,9.220389707829185,6.55250788703459,9.913487387114461,0.0,9.287394001418473
Lejlighed,77.0,2,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ja,Ja,none,Glostrup,<1 month,15.0,<1 month,9.314790473332646,6.55250788703459,10.413342705547674,9.314790473332646,9.375939552625749
Lejlighed,74.0,3,1,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ikke angivet,none,Brøndby,<1 month,15.0,<1 month,9.259225769705994,6.68586094706836,9.952325334619427,9.259225769705994,9.332646496360152
Lejlighed,40.0,1,1,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,C,Hvidovre,<1 month,15.0,<1 month,8.824824939175638,6.2166061010848646,9.923339198238729,9.923339198238729,8.895766604056085
Værelse,12.0,1,3,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,A20,København S,<1 month,15.0,<1 month,8.160803920954665,7.313886831633462,8.517393171418904,0.0,8.517393171418904
Værelse,20.0,1,3,Ja,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ja,Ja,Ja,Ja,Ja,Ja,none,København S,1-3 months,15.0,<1 month,8.412054873292933,6.2166061010848646,9.105090961257085,8.412054873292933,8.517393171418904
Lejlighed,53.0,2,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ikke angivet,Ja,Ikke angivet,Ja,D,Brønshøj,1-3 months,15.0,<1 month,9.18512512283512,0.0,9.87822102528824,9.87822102528824,9.18512512283512
Lejlighed,85.0,3,2,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ja,Ja,Ja,Ikke angivet,Nej,none,Søborg,3+ months,15.0,<1 month,9.441531454869693,6.7464121285733745,10.540090836284206,0.0,9.506808731708581
Lejlighed,87.0,3,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,A15,København SV,1-3 months,16.0,<1 month,9.581972891547895,6.90875477931522,10.680539205318292,9.581972891547895,9.648659816955295
Lejlighed,59.0,2,1,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ja,Ja,A15,København V,<1 month,16.0,<1 month,9.472781556562168,6.621405651764134,10.571342565808699,9.472781556562168,9.528866827722945
Lejlighed,80.0,2,0,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,D,Gentofte,<1 month,16.0,<1 month,9.392745258631441,7.313886831633462,10.491301994830229,0.0,9.510519035757246
Værelse,20.0,1,4,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ja,Ikke angivet,Ja,C,København Ø,<1 month,16.0,<1 month,8.699681400989514,0.0,9.798182590890704,0.0,8.699681400989514
Værelse,9.0,1,4,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,C,København NV,1-3 months,16.0,<1 month,8.160803920954665,0.0,8.160803920954665,8.160803920954665,8.160803920954665
Lejlighed,77.0,3,0,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,D,København Ø,3+ months,16.0,<1 month,9.798182590890704,0.0,10.778977123006351,9.798182590890704,9.798182590890704
Lejlighed,64.0,2,0,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,B,København NV,3+ months,17.0,<1 month,9.392745258631441,7.189922170745808,10.491301994830229,0.0,9.497472293122483
Lejlighed,93.0,3,0,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,none,Vedbæk,<1 month,17.0,<1 month,9.825580063659602,7.741099090035366,10.518700218288165,9.825580063659602,9.942756341456828
Værelse,35.0,2,2,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,C,København N,1-3 months,17.0,<1 month,9.259225769705994,0.0,9.952325334619427,9.259225769705994,9.259225769705994
Lejlighed,107.0,3,3,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,A15,Brønshøj,1-3 months,17.0,<1 month,9.661479683575521,7.0909098220799835,10.76004951120163,9.661479683575521,9.735128070758227
Værelse,10.0,1,4,Ja,Ja,Nej,Ja,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,A15,København S,1-3 months,17.0,<1 month,8.517393171418904,0.0,9.210440366976517,0.0,8.517393171418904
Værelse,16.0,1,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,C,Rødovre,<1 month,17.0,<1 month,8.412054873292933,0.0,9.105090961257085,0.0,8.412054873292933
Lejlighed,70.0,1,1,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,none,København V,<1 month,17.0,<1 month,9.392745258631441,0.0,10.085850775128717,9.392745258631441,9.392745258631441
Værelse,24.0,1,0,Ja,Ja,Nej,Nej,Nej,Ja,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,A15,København S,1-3 months,17.0,<1 month,8.987321812850125,6.2166061010848646,10.085850775128717,0.0,9.04793908261736
Lejlighed,95.0,4,1,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,B,København V,<1 month,18.0,<1 month,9.820160289946374,6.90875477931522,10.513280297700861,9.820160289946374,9.873079890114703
Værelse,14.0,1,1,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,none,Valby,1-3 months,18.0,<1 month,8.612685172875459,0.0,9.305741456739435,0.0,8.612685172875459
Værelse,10.0,1,5,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,none,København S,<1 month,18.0,<1 month,8.699681400989514,5.303304908059076,8.699681400989514,8.699681400989514,8.732465848349879
Lejlighed,47.0,2,2,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,C,Frederiksberg,1-3 months,18.0,<1 month,9.34145634983372,0.0,8.517393171418904,0.0,9.34145634983372
Lejlighed,70.0,2,7,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ikke angivet,none,Rødovre,1-3 months,18.0,<1 month,9.259225769705994,6.398594934535208,10.357774570341576,0.0,9.314790473332646
Lejlighed,81.0,3,4,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ja,Nej,Ja,Ja,Nej,Ja,A20,Hedehusene,3+ months,18.0,<1 month,9.350189267092581,6.90875477931522,10.448743588106625,9.350189267092581,9.433563920090563
Lejlighed,98.0,3,2,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ikke angivet,B,Charlottenlund,<1 month,18.0,<1 month,9.99884318585288,7.313886831633462,11.097425172408931,10.691967639914864,10.064798252418377
Lejlighed,104.0,4,3,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,Hedehusene,<1 month,18.0,<1 month,9.441531454869693,7.048386408721883,10.540090836284206,9.441531454869693,9.528866827722945
Lejlighed,79.0,3,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,Hedehusene,<1 month,18.0,<1 month,9.371693622333941,6.803505257608338,10.470249176632354,9.371693622333941,9.44549154241467
Lejlighed,79.0,3,4,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ikke angivet,D,Charlottenlund,1-3 months,18.0,<1 month,9.346705246496699,6.55250788703459,10.445259365192133,10.039808799894367,9.405989388981
Lejlighed,92.0,3,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,A10,Søborg,1-3 months,18.0,<1 month,9.632400353656184,6.85751406254539,10.730968928388284,9.632400353656184,9.692828247710418
Værelse,21.0,1,3,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,D,Frederiksberg,1-3 months,18.0,<1 month,8.665785595466064,0.0,9.76428295481558,0.0,8.665785595466064
Lejlighed,80.0,3,3,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Nej,A15,Hvidovre,1-3 months,18.0,<1 month,9.510519035757246,6.7650389767805414,10.609081944147828,9.510519035757246,9.572689189010719
Værelse,14.0,1,1,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,C,Kongens Lyngby,<1 month,18.0,<1 month,8.497194544909547,5.5254529391317835,8.497194544909547,0.0,8.546946149565585
Lejlighed,31.0,1,1,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,E,Hvidovre,<1 month,18.0,<1 month,8.920255414908091,6.2166061010848646,10.018778596870863,8.920255414908091,8.984944285608679
Lejlighed,59.0,2,7,Nej,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,Nej,Nej,Ja,A15,Hvidovre,3+ months,18.0,<1 month,9.328212292571072,6.68586094706836,10.426765325491356,9.328212292571072,9.396902923027392
Lejlighed,56.0,2,1,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A15,Hvidovre,<1 month,18.0,<1 month,9.350189267092581,6.415096959171596,10.448743588106625,0.0,9.401869409521051
Værelse,13.0,1,3,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,D,København Ø,<1 month,18.0,<1 month,8.781248333236862,0.0,8.781248333236862,0.0,8.781248333236862
Lejlighed,89.0,4,0,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ja,Nej,Ja,Ja,Nej,Ja,A20,Hedehusene,1-3 months,18.0,<1 month,9.425532393502772,6.90875477931522,10.524090921620362,9.425532393502772,9.503084610020228
Lejlighed,64.0,2,1,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ja,Ja,Nej,Ja,A20,Taastrup,1-3 months,18.0,<1 month,9.239996256883693,6.68586094706836,10.33854382482173,9.239996256883693,9.314790473332646
Lejlighed,89.0,3,3,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ja,Ja,Nej,Ja,A20,Taastrup,3+ months,18.0,<1 month,9.425532393502772,6.68586094706836,10.524090921620362,9.425532393502772,9.488047863280759
Lejlighed,29.0,1,0,Ja,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,B,Frederiksberg,<1 month,18.0,<1 month,9.105090961257085,6.2166061010848646,10.203629181337648,9.798182590890704,9.15915233520675
Lejlighed,66.0,2,1,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Nej,A20,Søborg,3+ months,18.0,<1 month,9.358846580275406,6.68586094706836,10.457401400981889,9.358846580275406,9.425532393502772
Værelse,13.0,1,3,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,C,Brønshøj,1-3 months,18.0,<1 month,8.366602832783736,0.0,9.465060106725137,8.366602832783736,8.366602832783736
Lejlighed,50.0,1,3,Nej,Nej,Nej,Ja,Ikke angivet,Ja,Nej,Ikke angivet,Nej,Nej,Nej,Nej,A10,Frederiksberg,1-3 months,18.0,<1 month,9.071193240566025,6.2166061010848646,10.169728906753061,9.071193240566025,9.127067452782361
Lejlighed,108.0,5,3,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ja,Ja,none,Søborg,1-3 months,18.0,<1 month,13.590188385176797,6.6240652277998935,9.90353755128617,13.590188385176797,13.591129991862656
Lejlighed,142.0,4,5,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,none,København K,3+ months,18.0,<1 month,10.085850775128717,7.346655163176539,10.085850775128717,11.184435286790631,10.14843173380919
Lejlighed,37.0,1,1,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,none,Frederiksberg,1-3 months,19.0,<1 month,9.137877200242468,5.993961427306569,10.236417809461043,10.236417809461043,9.179984251961283
Lejlighed,40.0,1,3,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ikke angivet,Ikke angivet,Ikke angivet,none,København NV,1-3 months,19.0,<1 month,9.116139576577355,6.2166061010848646,10.214678610538817,10.214678610538817,9.169622538697624
Lejlighed,83.0,3,0,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,A10,København S,3+ months,19.0,<1 month,9.510519035757246,6.68586094706836,10.609081944147828,9.510519035757246,9.568084743872936
Lejlighed,127.0,5,0,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,none,Rødovre,1-3 months,19.0,<1 month,9.61587214452889,7.00397413672268,10.714439990727769,9.61587214452889,9.686636660844938
Lejlighed,89.0,3,0,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,A15,Ballerup,3+ months,19.0,<1 month,9.441531454869693,6.90875477931522,10.540090836284206,9.441531454869693,9.517898598432753
Lejlighed,79.0,3,1,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,none,Taastrup,3+ months,19.0,<1 month,9.409273194575334,6.68586094706836,10.50783084142058,9.409273194575334,9.472781556562168
Lejlighed,36.0,1,1,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,none,København NV,1-3 months,19.0,<1 month,9.093918908958932,6.111467339502679,10.192456296870509,10.192456296870509,9.143238568435446
Lejlighed,96.0,4,2,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,none,Skovlunde,3+ months,19.0,<1 month,9.539716058977092,6.85751406254539,10.638280388314705,9.539716058977092,9.605822482030945
Lejlighed,111.0,4,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,none,Rødovre,1-3 months,19.0,<1 month,9.612533466213927,6.842683282238422,10.711101163782413,9.612533466213927,9.673256443720023
Lejlighed,85.0,3,4,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,E,Charlottenlund,1-3 months,19.0,<1 month,9.44943600950432,7.3783837129967145,10.547995807489514,0.0,9.568084743872936
Lejlighed,83.0,3,0,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,D,København S,1-3 months,19.0,<1 month,9.433563920090563,7.313886831633462,10.53212287826962,10.53212287826962,9.546884034617925
Værelse,8.0,1,0,Ja,Ja,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ikke angivet,D,Brønshøj,1-3 months,19.0,<1 month,8.343077871169383,0.0,8.987321812850125,8.343077871169383,8.343077871169383
Lejlighed,103.0,4,2,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ikke angivet,Ja,A20,København S,3+ months,19.0,<1 month,9.599405058716567,6.566672429803241,10.697972167001991,9.599405058716567,9.64639934516898
Lejlighed,69.0,2,2,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Ja,A20,Valby,1-3 months,19.0,<1 month,9.489939868234607,6.654152520183219,10.588501749865884,9.489939868234607,9.546884034617925
Lejlighed,86.0,3,7,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,none,København S,3+ months,19.0,<1 month,9.62911649414402,6.803505257608338,10.322230781590136,9.62911649414402,9.686636660844938
Lejlighed,71.0,2,0,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,none,Taastrup,1-3 months,19.0,<1 month,9.227983807148778,6.903747257584598,10.326530592918362,9.227983807148778,9.321255432547337
Lejlighed,120.0,3,6,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,Frederiksberg,1-3 months,19.0,<1 month,9.86998247397873,6.928537818164665,10.968560292962923,9.86998247397873,9.921376585371869
Lejlighed,59.0,2,2,Nej,Nej,Ja,Ja,Nej,Nej,Nej,Ja,Ja,Nej,Nej,Ja,A15,Hvidovre,1-3 months,19.0,<1 month,9.259225769705994,6.68586094706836,10.357774570341576,9.259225769705994,9.332646496360152
Lejlighed,97.0,3,7,Nej,Nej,Nej,Ja,Nej,Ikke angivet,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Nej,Ikke angivet,none,København S,1-3 months,19.0,<1 month,9.510519035757246,7.017506142941256,10.540090836284206,0.0,9.589872098057842
Lejlighed,89.0,3,2,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ja,Ja,Ja,Ja,Ikke angivet,Ja,A20,København S,3+ months,19.0,<1 month,9.680093969966709,6.68586094706836,10.778664580680367,9.680093969966709,9.728896041804084
Lejlighed,88.0,2,0,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,C,København SV,3+ months,19.0,<1 month,9.546884034617925,6.90875477931522,10.645448706505872,9.546884034617925,9.61587214452889
Lejlighed,55.0,2,0,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,E,Valby,<1 month,19.0,<1 month,9.059633754551479,6.68586094706836,10.158168529848494,0.0,9.148571345578551
Lejlighed,94.0,3,2,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,D,København K,<1 month,19.0,<1 month,9.811975152030021,6.90875477931522,10.91055091235213,9.811975152030021,9.865318286418624
Lejlighed,90.0,3,1,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,A15,Hedehusene,3+ months,19.0,<1 month,9.314790473332646,6.957497370876951,10.413342705547674,9.314790473332646,9.405166749908611
Lejlighed,108.0,3,0,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Nej,none,København S,3+ months,19.0,<1 month,9.746892220313054,7.0909098220799835,10.84546552414626,9.746892220313054,9.814710982145282
Lejlighed,98.0,2,3,Ja,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,none,København K,<1 month,19.0,<1 month,10.203629181337648,7.424165281042028,11.302216779257382,10.203629181337648,10.263815814972762
Lejlighed,82.0,3,1,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,none,Taastrup,1-3 months,19.0,<1 month,9.301186055275759,6.803505257608338,10.39973746484973,9.301186055275759,9.380167531188448
Lejlighed,99.0,3,1,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,none,København S,<1 month,19.0,<1 month,9.761405420601672,7.048386408721883,10.85997928615443,9.761405420601672,9.825580063659602
Lejlighed,119.0,4,6,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ja,Ikke angivet,Ja,A15,København S,3+ months,19.0,<1 month,9.653486547052035,7.199678345691172,10.752056033913902,9.653486547052035,9.735896960342167
Lejlighed,146.0,4,2,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,none,København K,<1 month,19.0,<1 month,9.98594273247232,7.244941546337007,11.084524325579006,11.084524325579006,10.048410069255738
Værelse,32.0,1,0,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,A10,Dyssegård,<1 month,19.0,<1 month,8.839421607620602,6.478509642208569,9.53249633228804,0.0,8.929435283803425
Lejlighed,82.0,2,2,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,København S,1-3 months,19.0,<1 month,9.781376414141157,6.90875477931522,10.879951039444416,9.781376414141157,9.83633227734872
Lejlighed,103.0,2,1,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,none,København S,1-3 months,19.0,<1 month,9.883335864325275,6.90875477931522,10.981914140544825,9.883335864325275,9.933094897288786
Værelse,20.0,1,2,Ja,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,D,Kongens Lyngby,3+ months,19.0,<1 month,8.665785595466064,0.0,9.76428295481558,8.665785595466064,8.665785595466064
Lejlighed,248.0,4,4,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,none,København K,<1 month,19.0,<1 month,10.860939421415225,7.601402334583733,11.959538914341756,10.860939421415225,10.898607948952096
Lejlighed,184.0,4,1,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,none,København K,<1 month,19.0,<1 month,10.505094936455558,7.438971592395862,11.603688960617083,10.505094936455558,10.5506169722625
Lejlighed,91.0,3,3,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,none,København SV,3+ months,19.0,<1 month,9.648014489106362,6.90875477931522,10.746583741107225,9.648014489106362,9.71057005652877
Lejlighed,49.0,2,4,Ja,Ja,Ja,Nej,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,D,Frederiksberg,<1 month,19.0,<1 month,9.305741456739435,6.2166061010848646,9.305741456739435,9.305741456739435,9.350189267092581
Lejlighed,28.0,1,0,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ikke angivet,Ja,Ikke angivet,Ja,A20,København S,1-3 months,19.0,<1 month,9.210440366976517,6.311734809152915,9.90353755128617,0.0,9.263975921142093
Lejlighed,88.0,3,0,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,A15,Albertslund,3+ months,19.0,<1 month,9.386140711779872,5.802118375377063,10.48469707985521,9.386140711779872,9.413444467952665
Lejlighed,86.0,3,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,none,København S,3+ months,19.0,<1 month,9.581972891547895,6.85751406254539,10.680539205318292,9.581972891547895,9.645429005150419
Lejlighed,88.0,3,2,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,A20,København S,3+ months,19.0,<1 month,9.525224101853109,6.621405651764134,10.623787731088578,9.525224101853109,9.57851889529833
Lejlighed,80.0,3,1,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,A20,København S,3+ months,19.0,<1 month,9.45727857185611,6.621405651764134,10.555838779903407,9.45727857185611,9.514215624322715
Lejlighed,96.0,3,1,Ja,Ja,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,A20,København S,1-3 months,19.0,<1 month,9.680406499268875,7.313886831633462,10.373522431293592,9.680406499268875,9.770013301136158
Lejlighed,66.0,2,2,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,A20,København S,3+ months,19.0,<1 month,9.332646496360152,6.478509642208569,10.431199791458543,9.332646496360152,9.388570235866881
Lejlighed,70.0,2,1,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,A20,København S,3+ months,19.0,<1 month,9.358846580275406,6.478509642208569,10.457401400981889,9.358846580275406,9.41336284529417
