housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,energy_mark,area,availability_in,days_on_website,months_on_website,monthly_rent_log,monthly_aconto_log,deposit_log,prepaid_rent_log,total_monthly_rent_log
Lejlighed,87.0,3,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,C,Gentofte,1-3 months,11.0,<1 month,9.711176264112805,7.280008252884188,10.809748150372926,9.711176264112805,9.79540110267107
Lejlighed,55.0,2,3,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,C,København Ø,<1 month,11.0,<1 month,9.305741456739435,6.2166061010848646,9.99884318585288,9.305741456739435,9.350189267092581
Lejlighed,78.0,2,6,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ja,Ja,Nej,Ja,A15,København SV,1-3 months,11.0,<1 month,9.6678285081515,6.68586094706836,10.766398604507042,9.6678285081515,9.717218213494077
Lejlighed,134.0,4,5,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,B,København Ø,1-3 months,11.0,<1 month,10.239995502805316,6.90875477931522,11.338583982516495,10.239995502805316,10.275085591132715
Lejlighed,72.0,3,1,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Nej,B,Glostrup,1-3 months,11.0,<1 month,9.392745258631441,6.68586094706836,10.491301994830229,9.392745258631441,9.45727857185611
Lejlighed,53.0,2,1,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ikke angivet,C,København SV,<1 month,11.0,<1 month,9.259225769705994,6.2166061010848646,10.308985993422082,9.259225769705994,9.305741456739435
Lejlighed,99.0,3,2,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,C,Taastrup,<1 month,11.0,<1 month,9.350189267092581,7.048386408721883,10.448743588106625,9.350189267092581,9.44549154241467
Lejlighed,102.0,4,2,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,A20,København SV,1-3 months,11.0,<1 month,9.67884287509565,7.039660349862076,10.777413433632514,9.67884287509565,9.747768977536708
Lejlighed,37.0,1,0,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Nej,Nej,Nej,none,København Ø,1-3 months,11.0,<1 month,9.148571345578551,6.2166061010848646,10.247112717290387,9.148571345578551,9.200391041122515
Lejlighed,91.0,3,1,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ja,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,F,Gentofte,3+ months,11.0,<1 month,9.648659816955295,6.7464121285733745,10.747229096720554,0.0,9.702044336534586
Lejlighed,141.0,4,4,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Nej,Ikke angivet,Ja,Ja,Ikke angivet,Ja,A15,København S,3+ months,11.0,<1 month,9.723822464203383,7.332369205929062,10.822394858193437,9.723822464203383,9.811317437563998
Lejlighed,107.0,5,0,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,A20,Ballerup,1-3 months,11.0,<1 month,9.588845298501564,7.1631723908466425,10.687411927154141,9.588845298501564,9.673508190212637
Lejlighed,80.0,4,3,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,A20,Ballerup,1-3 months,11.0,<1 month,9.472781556562168,6.97166860472579,10.571342565808699,9.472781556562168,9.551515816867964
Værelse,32.0,1,5,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,A15,København K,<1 month,11.0,<1 month,9.268703615273097,6.111467339502679,9.961803629358965,9.268703615273097,9.310276200588783
Lejlighed,79.0,3,1,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,D,Taastrup,3+ months,11.0,<1 month,9.332646496360152,6.2166061010848646,10.431199791458543,9.332646496360152,9.375939552625749
Lejlighed,76.0,3,1,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,A20,Ballerup,1-3 months,11.0,<1 month,9.392745258631441,6.825460036255307,10.491301994830229,9.392745258631441,9.46660917372222
Værelse,16.0,1,2,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ikke angivet,A15,Taastrup,<1 month,11.0,<1 month,8.699681400989514,7.313886831633462,9.61587214452889,8.699681400989514,8.922791623969637
Lejlighed,95.0,3,3,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,A15,Frederiksberg,1-3 months,11.0,<1 month,9.984791003600163,6.85751406254539,11.083372561332974,11.083372561332974,10.02765019515655
Lejlighed,68.0,2,1,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,A20,Ballerup,1-3 months,11.0,<1 month,9.249657234353133,6.710523109452428,10.348205424565993,9.249657234353133,9.325542301664866
Lejlighed,119.0,4,3,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,C,København K,<1 month,11.0,<1 month,9.819399172153842,7.048386408721883,10.917975202663861,9.819399172153842,9.880065382591635
Lejlighed,99.0,4,4,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A15,Brønshøj,1-3 months,11.0,<1 month,9.60245002503719,7.280008252884188,10.70101727068921,9.60245002503719,9.69590972432601
Lejlighed,157.0,4,3,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A15,Hellerup,1-3 months,11.0,<1 month,10.465984899076615,7.438971592395862,11.564578194753137,10.465984899076615,10.513280297700861
Lejlighed,45.0,1,4,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,none,København N,<1 month,11.0,<1 month,9.287394001418473,6.175867270105761,10.385944565501662,9.287394001418473,9.33087517360492
Lejlighed,84.0,2,0,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Nej,A15,København SV,1-3 months,11.0,<1 month,9.54652685348758,6.398594934535208,10.645091508364267,10.239638308916676,9.588502797556337
Lejlighed,102.0,4,5,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Nej,A15,København SV,1-3 months,11.0,<1 month,9.851983709669012,7.048386408721883,10.950560902613532,10.54510456855174,9.910761036502626
Lejlighed,86.0,3,1,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,C,Frederiksberg,<1 month,11.0,<1 month,9.071193240566025,0.0,8.517393171418904,9.071193240566025,9.071193240566025
Lejlighed,100.0,3,4,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,A15,Bagsværd,1-3 months,11.0,<1 month,9.561067663645012,7.090076835776092,10.659633006160352,9.561067663645012,9.642122788401721
