monthly_rent,monthly_aconto,move_in_price,housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,deposit,prepaid_rent,energy_mark,area,availability_in
15800.0,800.0,79800.0,Lejlighed,78.0,2,6,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ja,Ja,Nej,Ja,47400.0,15800.0,A15,København SV,1-3 months
28000.0,1000.0,141000.0,Lejlighed,134.0,4,5,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,84000.0,28000.0,B,København Ø,1-3 months
12000.0,800.0,60800.0,Lejlighed,72.0,3,1,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Nej,36000.0,12000.0,B,Glostrup,1-3 months
10500.0,500.0,51500.0,Lejlighed,53.0,2,1,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ikke angivet,30000.0,10500.0,C,København SV,<1 month
11500.0,1150.0,58650.0,Lejlighed,99.0,3,2,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,34500.0,11500.0,C,Taastrup,<1 month
15975.0,1140.0,81015.0,Lejlighed,102.0,4,2,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,47925.0,15975.0,A20,København SV,1-3 months
9400.0,500.0,47500.0,Lejlighed,37.0,1,0,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Nej,Nej,Nej,28200.0,9400.0,none,København Ø,1-3 months
18000.0,72000.0,432000.0,Lejlighed,75.0,3,0,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,54000.0,0.0,G,København K,1-3 months
15500.0,850.0,62850.0,Lejlighed,91.0,3,1,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ja,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,46500.0,0.0,F,Gentofte,3+ months
16710.0,1528.0,85078.0,Lejlighed,141.0,4,4,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Nej,Ikke angivet,Ja,Ja,Ikke angivet,Ja,50130.0,16710.0,A15,København S,3+ months
14600.0,1290.0,74290.0,Lejlighed,107.0,5,0,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,43800.0,14600.0,A20,Ballerup,1-3 months
13000.0,1065.0,66065.0,Lejlighed,80.0,4,3,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,39000.0,13000.0,A20,Ballerup,1-3 months
10600.0,450.0,42850.0,Værelse,32.0,1,5,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,21200.0,10600.0,A15,København K,<1 month
11300.0,500.0,57000.0,Lejlighed,79.0,3,1,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,33900.0,11300.0,D,Taastrup,3+ months
12000.0,920.0,60920.0,Lejlighed,76.0,3,1,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,36000.0,12000.0,A20,Ballerup,1-3 months
6000.0,1500.0,28500.0,Værelse,16.0,1,2,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ikke angivet,15000.0,6000.0,A15,Taastrup,<1 month
21693.0,950.0,152801.0,Lejlighed,95.0,3,3,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,65079.0,65079.0,A15,Frederiksberg,1-3 months
10400.0,820.0,52820.0,Lejlighed,68.0,2,1,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,31200.0,10400.0,A20,Ballerup,1-3 months
18386.0,1150.0,93080.0,Lejlighed,119.0,4,3,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,55158.0,18386.0,C,København K,<1 month
14800.0,1450.0,75450.0,Lejlighed,99.0,4,4,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,44400.0,14800.0,A15,Brønshøj,1-3 months
35100.0,1700.0,177200.0,Lejlighed,157.0,4,3,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,105300.0,35100.0,A15,Hellerup,1-3 months
10800.0,480.0,54480.0,Lejlighed,45.0,1,4,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,32400.0,10800.0,none,København N,<1 month
13995.0,600.0,84570.0,Lejlighed,84.0,2,0,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Nej,41985.0,27990.0,A15,København SV,1-3 months
18995.0,1150.0,115120.0,Lejlighed,102.0,4,5,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Nej,56985.0,37990.0,A15,København SV,1-3 months
8700.0,0.0,22400.0,Lejlighed,86.0,3,1,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,5000.0,8700.0,C,Frederiksberg,<1 month
14200.0,1199.0,72199.0,Lejlighed,100.0,3,4,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,42600.0,14200.0,A15,Bagsværd,1-3 months
7500.0,525.0,30525.0,Lejlighed,40.0,1,1,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,22500.0,0.0,none,Vanløse,<1 month
13500.0,600.0,68100.0,Lejlighed,75.0,3,3,Nej,Ja,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,40500.0,13500.0,none,Rødovre,<1 month
10200.0,800.0,51800.0,Lejlighed,68.0,2,3,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,30600.0,10200.0,A20,Vallensbæk Strand,<1 month
10800.0,500.0,54500.0,Lejlighed,49.0,2,11,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,32400.0,10800.0,none,Rødovre,1-3 months
9100.0,800.0,46300.0,Lejlighed,43.0,2,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,27300.0,9100.0,A15,Glostrup,3+ months
12700.0,715.0,64215.0,Lejlighed,96.0,3,1,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,38100.0,12700.0,A15,Ballerup,1-3 months
16600.0,907.0,67307.0,Lejlighed,106.0,3,2,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,49800.0,0.0,A15,Kongens Lyngby,3+ months
15100.0,1000.0,76500.0,Lejlighed,91.0,2,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,45300.0,15100.0,C,København SV,1-3 months
14075.0,1980.0,72355.0,Lejlighed,97.0,4,4,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Nej,Nej,Nej,42225.0,14075.0,A10,Søborg,1-3 months
11052.0,500.0,77864.0,Lejlighed,91.0,3,2,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Nej,Nej,Nej,33156.0,33156.0,C,Rødovre,1-3 months
13825.0,700.0,69825.0,Lejlighed,66.0,4,8,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,41475.0,13825.0,A10,København S,3+ months
23500.0,94000.0,282000.0,Lejlighed,137.0,5,1,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Nej,Ikke angivet,70500.0,0.0,none,Frederiksberg C,1-3 months
13900.0,1000.0,70500.0,Lejlighed,93.0,3,1,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ja,Ja,Nej,Ja,41700.0,13900.0,A20,København S,1-3 months
12900.0,600.0,52200.0,Lejlighed,50.0,1,3,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,38700.0,0.0,none,København K,1-3 months
9800.0,500.0,39700.0,Lejlighed,40.0,2,3,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,29400.0,0.0,D,København Ø,<1 month
12400.0,600.0,50200.0,Lejlighed,72.0,3,2,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,37200.0,0.0,none,Søborg,<1 month
14900.0,800.0,60400.0,Lejlighed,82.0,4,1,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,44700.0,0.0,none,Gentofte,<1 month
12800.0,700.0,64700.0,Lejlighed,81.0,3,3,Nej,Ja,Ja,Ikke angivet,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Nej,Ja,38400.0,12800.0,none,Herlev,1-3 months
10950.0,700.0,55450.0,Lejlighed,71.0,2,2,Nej,Ja,Ja,Ikke angivet,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Nej,Ja,32850.0,10950.0,none,Herlev,1-3 months
15500.0,1000.0,47500.0,Lejlighed,108.0,4,2,Ja,Ja,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,15500.0,15500.0,A15,Kastrup,1-3 months
15050.0,1130.0,76380.0,Lejlighed,113.0,3,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,45150.0,15050.0,A15,Valby,1-3 months
13330.0,66650.0,0.0,Lejlighed,98.0,3,1,Nej,Nej,Ja,Ikke angivet,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Nej,Ja,39990.0,13330.0,none,Taastrup,<1 month
27500.0,0.0,192500.0,Lejlighed,265.0,7,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,82500.0,82500.0,C,København Ø,<1 month
11500.0,1000.0,58500.0,Lejlighed,79.0,3,0,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,34500.0,11500.0,A20,Vallensbæk Strand,<1 month
16975.0,1137.0,86012.0,Lejlighed,94.0,3,2,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Ja,50925.0,16975.0,A10,København SV,1-3 months
7500.0,0.0,22500.0,Værelse,12.0,1,1,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,7500.0,7500.0,E,Skodsborg,<1 month
5500.0,0.0,11000.0,Værelse,18.0,1,4,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,5500.0,0.0,C,København K,<1 month
17750.0,250.0,89000.0,Lejlighed,86.0,3,3,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,53250.0,17750.0,B,Frederiksberg,1-3 months
11900.0,0.0,83300.0,Lejlighed,135.0,4,3,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,35700.0,35700.0,C,Taastrup,<1 month
25000.0,2500.0,102500.0,Lejlighed,160.0,7,2,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,75000.0,0.0,D,Valby,<1 month
6500.0,1300.0,33800.0,Værelse,30.0,1,2,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,13000.0,13000.0,C,Hellerup,<1 month
19900.0,1380.0,100880.0,Lejlighed,105.0,3,1,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,59700.0,19900.0,C,Kongens Lyngby,<1 month
7000.0,0.0,21000.0,Værelse,13.0,1,2,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ja,Ikke angivet,Ikke angivet,14000.0,0.0,C,Frederiksberg,<1 month
12800.0,600.0,90200.0,Lejlighed,96.0,3,0,Nej,Ja,Ja,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,38400.0,38400.0,C,Gentofte,<1 month
15000.0,1500.0,61500.0,Lejlighed,95.0,4,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,30000.0,15000.0,D,Dragør,<1 month
15500.0,0.0,62000.0,Lejlighed,74.0,3,1,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,31000.0,15500.0,D,København Ø,<1 month
15200.0,1000.0,77000.0,Lejlighed,80.0,2,2,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ja,Nej,Ja,45600.0,15200.0,A10,Vanløse,1-3 months
10650.0,600.0,53850.0,Lejlighed,41.0,1,3,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Ja,31950.0,10650.0,A10,Vanløse,1-3 months
15500.0,1000.0,78500.0,Lejlighed,94.0,4,2,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,46500.0,15500.0,none,København S,1-3 months
13000.0,900.0,65900.0,Lejlighed,75.0,2,7,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Nej,Nej,Nej,39000.0,13000.0,none,København S,<1 month
18500.0,1200.0,75200.0,Lejlighed,100.0,4,1,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,55500.0,0.0,C,Frederiksberg C,1-3 months
17500.0,990.0,88490.0,Lejlighed,91.0,2,4,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,52500.0,17500.0,none,København Ø,1-3 months
18595.0,1200.0,94175.0,Lejlighed,108.0,3,2,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,55785.0,18595.0,none,København V,<1 month
13500.0,1000.0,68500.0,Lejlighed,108.0,4,4,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,40500.0,13500.0,A20,Ballerup,3+ months
19950.0,1300.0,101050.0,Lejlighed,116.0,4,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,59850.0,19950.0,none,København S,1-3 months
16723.0,1030.0,118091.0,Lejlighed,116.0,4,3,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ja,Ja,Ikke angivet,Ikke angivet,Nej,Ikke angivet,50169.0,50169.0,none,Frederiksberg,<1 month
7500.0,450.0,30450.0,Lejlighed,35.0,1,1,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ja,Nej,Ikke angivet,Ja,Nej,Ja,22500.0,0.0,C,Rødovre,<1 month
7400.0,500.0,37500.0,Lejlighed,33.0,1,1,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,22200.0,7400.0,A15,Brønshøj,<1 month
10800.0,800.0,54800.0,Lejlighed,61.0,2,0,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,32400.0,10800.0,A20,Ballerup,1-3 months
15500.0,1037.0,78537.0,Lejlighed,101.0,3,0,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Ja,46500.0,15500.0,A10,København SV,3+ months
6550.0,461.0,33211.0,Lejlighed,41.0,1,0,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,19650.0,6550.0,A15,Valby,1-3 months
7534.0,500.0,38170.0,Lejlighed,32.0,1,0,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,22602.0,7534.0,none,København NV,<1 month
11000.0,500.0,55500.0,Lejlighed,47.0,2,0,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,33000.0,11000.0,C,Kongens Lyngby,<1 month
22000.0,88000.0,264000.0,Lejlighed,151.0,3,0,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Nej,Ikke angivet,66000.0,0.0,none,København S,<1 month
8000.0,500.0,16500.0,Værelse,60.0,1,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,8000.0,0.0,none,Nordhavn,1-3 months
8000.0,0.0,24000.0,Værelse,21.0,1,0,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ja,Ikke angivet,Ikke angivet,16000.0,0.0,A15,Kastrup,<1 month
11900.0,600.0,51300.0,Lejlighed,52.0,2,4,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ikke angivet,Ja,Ikke angivet,15000.0,23800.0,C,Frederiksberg,1-3 months
7500.0,350.0,37850.0,Lejlighed,31.0,1,2,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,22500.0,7500.0,A15,København N,3+ months
7500.0,415.0,37915.0,Lejlighed,31.0,1,2,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,22500.0,7500.0,A15,København N,<1 month
10300.0,1000.0,52500.0,Lejlighed,75.0,2,0,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,30900.0,10300.0,A20,Ballerup,1-3 months
13975.0,700.0,70575.0,Lejlighed,79.0,3,3,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,41925.0,13975.0,A10,København S,1-3 months
15000.0,1000.0,76000.0,Lejlighed,86.0,3,3,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,45000.0,15000.0,C,København Ø,<1 month
11225.0,776.0,56901.0,Lejlighed,69.0,2,6,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ikke angivet,Ja,33675.0,11225.0,A15,København S,1-3 months
9400.0,1000.0,48000.0,Lejlighed,57.0,2,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,28200.0,9400.0,C,Søborg,<1 month
10400.0,800.0,52800.0,Lejlighed,55.0,2,7,Nej,Nej,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ja,31200.0,10400.0,none,Herlev,1-3 months
14200.0,1000.0,72000.0,Lejlighed,79.0,3,0,Nej,Ja,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Nej,Ja,42600.0,14200.0,none,København NV,<1 month
20000.0,1400.0,61400.0,Lejlighed,105.0,4,2,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,40000.0,0.0,none,København K,1-3 months
11440.0,550.0,34870.0,Lejlighed,29.0,1,1,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Nej,Ikke angivet,22880.0,0.0,A20,København S,<1 month
12500.0,1000.0,51000.0,Lejlighed,76.0,3,1,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,37500.0,0.0,none,København S,<1 month
13300.0,700.0,67200.0,Lejlighed,82.0,3,0,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ikke angivet,Ja,Ja,Nej,Nej,39900.0,13300.0,none,Glostrup,<1 month
35000.0,600.0,75600.0,Lejlighed,118.0,6,1,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,5000.0,35000.0,D,Frederiksberg,1-3 months
9100.0,708.0,46208.0,Lejlighed,55.0,1,4,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,27300.0,9100.0,A10,København SV,1-3 months
6800.0,633.0,34633.0,Lejlighed,40.0,1,1,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,20400.0,6800.0,A10,København SV,1-3 months
8500.0,603.0,43103.0,Lejlighed,50.0,2,3,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,25500.0,8500.0,A10,København SV,3+ months
8500.0,628.0,43128.0,Lejlighed,50.0,1,4,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,25500.0,8500.0,A10,København SV,1-3 months
6750.0,553.0,34303.0,Lejlighed,39.0,1,1,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,20250.0,6750.0,A10,København SV,1-3 months
6500.0,553.0,33053.0,Lejlighed,34.0,1,2,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,19500.0,6500.0,A10,København SV,3+ months
