monthly_rent,monthly_aconto,housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,deposit,prepaid_rent,energy_mark,area,availability_in,days_on_website,total_monthly_rent,months_on_website
28000.0,1000.0,Lejlighed,134.0,4,5,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,84000.0,28000.0,B,København Ø,1-3 months,11.0,29000.0,<1 month
12000.0,800.0,Lejlighed,72.0,3,1,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Nej,36000.0,12000.0,B,Glostrup,1-3 months,11.0,12800.0,<1 month
10500.0,500.0,Lejlighed,53.0,2,1,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ikke angivet,30000.0,10500.0,C,København SV,<1 month,11.0,11000.0,<1 month
11500.0,1150.0,Lejlighed,99.0,3,2,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,34500.0,11500.0,C,Taastrup,<1 month,11.0,12650.0,<1 month
15975.0,1140.0,Lejlighed,102.0,4,2,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,47925.0,15975.0,A20,København SV,1-3 months,11.0,17115.0,<1 month
9400.0,500.0,Lejlighed,37.0,1,0,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Nej,Nej,Nej,28200.0,9400.0,none,København Ø,1-3 months,11.0,9900.0,<1 month
15500.0,850.0,Lejlighed,91.0,3,1,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ja,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,46500.0,0.0,F,Gentofte,3+ months,11.0,16350.0,<1 month
16710.0,1528.0,Lejlighed,141.0,4,4,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Nej,Ikke angivet,Ja,Ja,Ikke angivet,Ja,50130.0,16710.0,A15,København S,3+ months,11.0,18238.0,<1 month
14600.0,1290.0,Lejlighed,107.0,5,0,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,43800.0,14600.0,A20,Ballerup,1-3 months,11.0,15890.0,<1 month
13000.0,1065.0,Lejlighed,80.0,4,3,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,39000.0,13000.0,A20,Ballerup,1-3 months,11.0,14065.0,<1 month
10600.0,450.0,Værelse,32.0,1,5,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,21200.0,10600.0,A15,København K,<1 month,11.0,11050.0,<1 month
11300.0,500.0,Lejlighed,79.0,3,1,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,33900.0,11300.0,D,Taastrup,3+ months,11.0,11800.0,<1 month
12000.0,920.0,Lejlighed,76.0,3,1,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,36000.0,12000.0,A20,Ballerup,1-3 months,11.0,12920.0,<1 month
6000.0,1500.0,Værelse,16.0,1,2,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ikke angivet,15000.0,6000.0,A15,Taastrup,<1 month,11.0,7500.0,<1 month
21693.0,950.0,Lejlighed,95.0,3,3,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,65079.0,65079.0,A15,Frederiksberg,1-3 months,11.0,22643.0,<1 month
10400.0,820.0,Lejlighed,68.0,2,1,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,31200.0,10400.0,A20,Ballerup,1-3 months,11.0,11220.0,<1 month
18386.0,1150.0,Lejlighed,119.0,4,3,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,55158.0,18386.0,C,København K,<1 month,11.0,19536.0,<1 month
14800.0,1450.0,Lejlighed,99.0,4,4,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,44400.0,14800.0,A15,Brønshøj,1-3 months,11.0,16250.0,<1 month
35100.0,1700.0,Lejlighed,157.0,4,3,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,105300.0,35100.0,A15,Hellerup,1-3 months,11.0,36800.0,<1 month
10800.0,480.0,Lejlighed,45.0,1,4,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,32400.0,10800.0,none,København N,<1 month,11.0,11280.0,<1 month
13995.0,600.0,Lejlighed,84.0,2,0,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Nej,41985.0,27990.0,A15,København SV,1-3 months,11.0,14595.0,<1 month
18995.0,1150.0,Lejlighed,102.0,4,5,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Nej,Nej,56985.0,37990.0,A15,København SV,1-3 months,11.0,20145.0,<1 month
8700.0,0.0,Lejlighed,86.0,3,1,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,5000.0,8700.0,C,Frederiksberg,<1 month,11.0,8700.0,<1 month
14200.0,1199.0,Lejlighed,100.0,3,4,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,42600.0,14200.0,A15,Bagsværd,1-3 months,11.0,15399.0,<1 month
7500.0,525.0,Lejlighed,40.0,1,1,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,22500.0,0.0,none,Vanløse,<1 month,11.0,8025.0,<1 month
13500.0,600.0,Lejlighed,75.0,3,3,Nej,Ja,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,40500.0,13500.0,none,Rødovre,<1 month,11.0,14100.0,<1 month
10200.0,800.0,Lejlighed,68.0,2,3,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,30600.0,10200.0,A20,Vallensbæk Strand,<1 month,11.0,11000.0,<1 month
10800.0,500.0,Lejlighed,49.0,2,11,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,32400.0,10800.0,none,Rødovre,1-3 months,11.0,11300.0,<1 month
9100.0,800.0,Lejlighed,43.0,2,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,27300.0,9100.0,A15,Glostrup,3+ months,11.0,9900.0,<1 month
12700.0,715.0,Lejlighed,96.0,3,1,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,38100.0,12700.0,A15,Ballerup,1-3 months,11.0,13415.0,<1 month
16600.0,907.0,Lejlighed,106.0,3,2,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,49800.0,0.0,A15,Kongens Lyngby,3+ months,11.0,17507.0,<1 month
15100.0,1000.0,Lejlighed,91.0,2,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,45300.0,15100.0,C,København SV,1-3 months,11.0,16100.0,<1 month
14075.0,1980.0,Lejlighed,97.0,4,4,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Nej,Nej,Nej,42225.0,14075.0,A10,Søborg,1-3 months,11.0,16055.0,<1 month
11052.0,500.0,Lejlighed,91.0,3,2,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Nej,Nej,Nej,33156.0,33156.0,C,Rødovre,1-3 months,11.0,11552.0,<1 month
13825.0,700.0,Lejlighed,66.0,4,8,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,41475.0,13825.0,A10,København S,3+ months,11.0,14525.0,<1 month
13900.0,1000.0,Lejlighed,93.0,3,1,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ja,Ja,Nej,Ja,41700.0,13900.0,A20,København S,1-3 months,11.0,14900.0,<1 month
12900.0,600.0,Lejlighed,50.0,1,3,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,38700.0,0.0,none,København K,1-3 months,11.0,13500.0,<1 month
9800.0,500.0,Lejlighed,40.0,2,3,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,29400.0,0.0,D,København Ø,<1 month,11.0,10300.0,<1 month
