monthly_rent,monthly_aconto,housing_type,size_sqm,rooms,floor,furnished,roommate_friendly,pets_allowed,elevator,senior_friendly,students_only,balcony_terrace,parking,dishwasher,washing_machine,charging_station,dryer,deposit,prepaid_rent,energy_mark,area,availability_in,days_on_website,total_monthly_rent,months_on_website
12800.0,550.0,Lejlighed,54.0,2,5,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,38400.0,12800.0,A15,København S,1-3 months,20.0,13350.0,<1 month
12500.0,1250.0,Lejlighed,97.0,3,3,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,37500.0,37500.0,none,København N,1-3 months,20.0,13750.0,<1 month
13700.0,600.0,Lejlighed,58.0,2,0,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ikke angivet,Ja,Ikke angivet,Ja,41100.0,0.0,none,Nordhavn,<1 month,20.0,14300.0,<1 month
14500.0,600.0,Lejlighed,62.0,3,0,Ja,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,43500.0,14500.0,D,Brønshøj,<1 month,20.0,15100.0,<1 month
16000.0,1500.0,Lejlighed,85.0,3,0,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,32000.0,16000.0,D,Charlottenlund,1-3 months,20.0,17500.0,<1 month
5200.0,0.0,Værelse,18.0,1,2,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ja,Ikke angivet,Ja,Ja,Ja,6000.0,0.0,none,København Ø,1-3 months,20.0,5200.0,<1 month
14000.0,1047.0,Lejlighed,102.0,3,1,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Nej,42000.0,42000.0,A10,Vanløse,3+ months,20.0,15047.0,<1 month
10000.0,600.0,Lejlighed,62.0,2,4,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,30000.0,10000.0,none,Taastrup,<1 month,20.0,10600.0,<1 month
10500.0,500.0,Lejlighed,68.0,3,4,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,21000.0,21000.0,none,København S,<1 month,20.0,11000.0,<1 month
24500.0,1350.0,Lejlighed,111.0,3,2,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ja,Ja,Ikke angivet,Ikke angivet,Nej,Nej,73500.0,24500.0,none,Hellerup,3+ months,20.0,25850.0,<1 month
6500.0,0.0,Værelse,16.0,1,1,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Nej,Nej,19500.0,0.0,none,Brønshøj,1-3 months,20.0,6500.0,<1 month
5000.0,0.0,Værelse,15.0,1,3,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,6000.0,6000.0,C,København V,1-3 months,20.0,5000.0,<1 month
14200.0,850.0,Lejlighed,65.0,2,1,Ja,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,42600.0,14200.0,C,Vanløse,<1 month,20.0,15050.0,<1 month
21500.0,0.0,Lejlighed,114.0,3,2,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,21500.0,0.0,B,København Ø,1-3 months,20.0,21500.0,<1 month
10511.0,800.0,Lejlighed,70.0,2,5,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,31533.0,10511.0,A15,Brøndby,1-3 months,21.0,11311.0,<1 month
29500.0,750.0,Lejlighed,177.0,3,5,Ja,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,88500.0,0.0,C,København K,<1 month,21.0,30250.0,<1 month
11000.0,800.0,Lejlighed,84.0,3,1,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,31500.0,10500.0,C,Vallensbæk,<1 month,21.0,11800.0,<1 month
10500.0,700.0,Lejlighed,79.0,2,3,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,31500.0,10500.0,C,Glostrup,1-3 months,21.0,11200.0,<1 month
3800.0,0.0,Værelse,14.0,1,1,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,3800.0,0.0,D,København NV,1-3 months,21.0,3800.0,<1 month
5500.0,0.0,Lejlighed,10.0,1,2,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,11000.0,0.0,D,Valby,1-3 months,21.0,5500.0,<1 month
22500.0,775.0,Lejlighed,76.0,3,1,Ja,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,67500.0,22500.0,D,Frederiksberg,1-3 months,21.0,23275.0,<1 month
19000.0,1450.0,Lejlighed,135.0,4,0,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ja,57000.0,19000.0,none,København S,<1 month,21.0,20450.0,<1 month
14450.0,800.0,Lejlighed,65.0,2,0,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,43350.0,14450.0,none,København S,<1 month,21.0,15250.0,<1 month
15800.0,1100.0,Lejlighed,104.0,4,1,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,47400.0,15800.0,A15,København S,1-3 months,21.0,16900.0,<1 month
15900.0,1000.0,Lejlighed,105.0,4,2,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,47700.0,15900.0,A15,København S,3+ months,21.0,16900.0,<1 month
24400.0,1350.0,Lejlighed,136.0,5,5,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,73200.0,24400.0,A15,København S,1-3 months,21.0,25750.0,<1 month
16500.0,1300.0,Lejlighed,113.0,3,1,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,49500.0,16500.0,none,København SV,3+ months,21.0,17800.0,<1 month
13000.0,0.0,Lejlighed,80.0,2,0,Ja,Nej,Ja,Ja,Ja,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,6500.0,0.0,C,København S,1-3 months,21.0,13000.0,<1 month
24500.0,950.0,Lejlighed,110.0,3,2,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,73500.0,0.0,none,København K,1-3 months,21.0,25450.0,<1 month
11300.0,750.0,Lejlighed,72.0,2,6,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,33900.0,11300.0,A20,Brøndby,1-3 months,21.0,12050.0,<1 month
15500.0,1000.0,Lejlighed,96.0,4,4,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,46500.0,15550.0,A15,København S,1-3 months,21.0,16500.0,<1 month
9500.0,500.0,Lejlighed,42.0,1,3,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Nej,28500.0,9500.0,none,København S,1-3 months,21.0,10000.0,<1 month
18454.0,1543.0,Lejlighed,139.0,5,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,55362.0,55362.0,C,København NV,1-3 months,21.0,19997.0,<1 month
9700.0,385.0,Lejlighed,26.0,1,0,Ja,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Ikke angivet,Ja,Ikke angivet,Ja,19400.0,0.0,none,Frederiksberg C,1-3 months,21.0,10085.0,<1 month
16518.0,800.0,Lejlighed,107.0,3,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,49554.0,49554.0,C,Valby,1-3 months,21.0,17318.0,<1 month
10700.0,385.0,Lejlighed,35.0,1,0,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Nej,Ikke angivet,Ja,Ikke angivet,Ja,21400.0,0.0,none,Frederiksberg C,1-3 months,21.0,11085.0,<1 month
14100.0,1450.0,Lejlighed,86.0,3,2,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,42300.0,14100.0,none,Bagsværd,<1 month,21.0,15550.0,<1 month
12750.0,300.0,Lejlighed,73.0,3,1,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,38250.0,12750.0,none,Ballerup,<1 month,21.0,13050.0,<1 month
1496250.0,1100.0,Lejlighed,98.0,4,1,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,4488750.0,1496250.0,none,Valby,3+ months,21.0,1497350.0,<1 month
14963.0,1100.0,Lejlighed,94.0,4,2,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,44889.0,14963.0,none,Valby,3+ months,21.0,16063.0,<1 month
13510.0,1100.0,Lejlighed,77.0,3,2,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,40530.0,13510.0,none,Valby,3+ months,21.0,14610.0,<1 month
1496250.0,1100.0,Lejlighed,94.0,4,1,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,4488750.0,1496250.0,none,Valby,3+ months,21.0,1497350.0,<1 month
13510.0,1100.0,Lejlighed,77.0,3,1,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,40530.0,13510.0,none,Valby,3+ months,21.0,14610.0,<1 month
1496250.0,1100.0,Lejlighed,94.0,4,0,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,4488750.0,1496250.0,none,Valby,3+ months,21.0,1497350.0,<1 month
13510.0,900.0,Lejlighed,77.0,3,0,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,40530.0,13510.0,none,Valby,3+ months,21.0,14410.0,<1 month
1496250.0,1100.0,Lejlighed,94.0,4,1,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,4488750.0,1496250.0,none,Valby,3+ months,21.0,1497350.0,<1 month
14963.0,1100.0,Lejlighed,95.0,4,2,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,44889.0,14963.0,none,Valby,3+ months,21.0,16063.0,<1 month
1496250.0,1100.0,Lejlighed,98.0,4,1,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,4488750.0,1496250.0,none,Valby,3+ months,21.0,1497350.0,<1 month
13510.0,900.0,Lejlighed,77.0,3,1,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,40530.0,13510.0,none,Valby,3+ months,21.0,14410.0,<1 month
13510.0,900.0,Lejlighed,77.0,3,0,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,40530.0,13510.0,none,Valby,3+ months,21.0,14410.0,<1 month
1496250.0,1100.0,Lejlighed,98.0,4,0,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ja,Ja,4488750.0,1496250.0,none,Valby,3+ months,21.0,1497350.0,<1 month
11000.0,710.0,Lejlighed,56.0,2,10,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,33000.0,11000.0,none,Valby,1-3 months,21.0,11710.0,<1 month
22900.0,1250.0,Lejlighed,119.0,3,2,Nej,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,68700.0,22900.0,none,København K,1-3 months,21.0,24150.0,<1 month
6900.0,0.0,Værelse,18.0,1,2,Ja,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,20700.0,6900.0,C,København Ø,<1 month,21.0,6900.0,<1 month
11400.0,650.0,Lejlighed,58.0,1,3,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,34200.0,11400.0,A15,København S,1-3 months,21.0,12050.0,<1 month
9000.0,1000.0,Lejlighed,41.0,1,4,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,9000.0,18000.0,C,København S,1-3 months,21.0,10000.0,<1 month
16000.0,1000.0,Lejlighed,95.0,4,4,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ja,Ikke angivet,Ja,48000.0,0.0,C,København N,<1 month,21.0,17000.0,<1 month
10000.0,1000.0,Lejlighed,46.0,2,4,Nej,Ja,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Nej,Nej,30000.0,0.0,C,Taastrup,<1 month,21.0,11000.0,<1 month
9000.0,550.0,Lejlighed,45.0,1,6,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,27000.0,9000.0,none,Valby,1-3 months,21.0,9550.0,<1 month
9000.0,550.0,Lejlighed,45.0,1,5,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,27000.0,9000.0,none,Valby,1-3 months,21.0,9550.0,<1 month
15750.0,1150.0,Lejlighed,112.0,4,4,Nej,Ja,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Ikke angivet,Ja,47250.0,15750.0,A20,Rødovre,1-3 months,21.0,16900.0,<1 month
12500.0,1000.0,Lejlighed,93.0,4,3,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ja,Ja,Nej,Ja,37500.0,12500.0,A20,Hedehusene,3+ months,21.0,13500.0,<1 month
14500.0,1000.0,Lejlighed,97.0,3,7,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ja,Ja,Nej,Ja,43500.0,14500.0,A10,København S,3+ months,21.0,15500.0,<1 month
14200.0,800.0,Lejlighed,85.0,3,9,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ja,Nej,Ja,Ja,Nej,Ja,42600.0,14200.0,A10,København S,3+ months,21.0,15000.0,<1 month
13000.0,0.0,Lejlighed,60.0,2,3,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ikke angivet,20000.0,13000.0,D,Vanløse,1-3 months,21.0,13000.0,<1 month
6945.0,500.0,Lejlighed,27.0,1,3,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,20835.0,6945.0,none,København NV,1-3 months,21.0,7445.0,<1 month
5900.0,354.0,Værelse,9.0,1,1,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,17700.0,5900.0,A20,København SV,1-3 months,21.0,6254.0,<1 month
8000.0,0.0,Lejlighed,41.0,1,1,Ja,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,8000.0,0.0,A20,København SV,1-3 months,21.0,8000.0,<1 month
12800.0,1150.0,Lejlighed,82.0,3,2,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ikke angivet,Ikke angivet,Ikke angivet,25000.0,23000.0,D,Vanløse,1-3 months,21.0,13950.0,<1 month
11500.0,700.0,Lejlighed,74.0,2,1,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ja,Ja,Ja,Ikke angivet,Ja,34500.0,11500.0,none,Rødovre,<1 month,21.0,12200.0,<1 month
7800.0,550.0,Lejlighed,27.0,1,1,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,23400.0,7800.0,A10,Frederiksberg,<1 month,21.0,8350.0,<1 month
3600.0,900.0,Værelse,22.0,1,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Ja,10800.0,3600.0,A10,Glostrup,<1 month,22.0,4500.0,<1 month
10725.0,800.0,Lejlighed,78.0,3,1,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,32175.0,32175.0,C,Charlottenlund,1-3 months,22.0,11525.0,<1 month
13500.0,800.0,Lejlighed,81.0,3,0,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,40500.0,13500.0,A15,København S,3+ months,22.0,14300.0,<1 month
8700.0,500.0,Lejlighed,44.0,1,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Nej,Nej,Nej,Nej,26100.0,0.0,A10,København NV,3+ months,22.0,9200.0,<1 month
7600.0,0.0,Værelse,25.0,1,1,Ja,Nej,Nej,Ja,Nej,Ja,Nej,Nej,Ja,Ja,Ikke angivet,Ja,7600.0,0.0,D,København NV,<1 month,22.0,7600.0,<1 month
9500.0,500.0,Lejlighed,55.0,2,3,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,28500.0,9500.0,C,København NV,1-3 months,22.0,10000.0,<1 month
4500.0,0.0,Værelse,13.0,1,2,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ikke angivet,4500.0,4500.0,D,Kastrup,1-3 months,22.0,4500.0,<1 month
11900.0,600.0,Lejlighed,64.0,2,3,Ja,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Nej,Ikke angivet,Ikke angivet,Nej,Ikke angivet,35700.0,0.0,none,København K,3+ months,22.0,12500.0,<1 month
11500.0,798.0,Lejlighed,33.0,1,19,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,23000.0,0.0,A15,København V,1-3 months,22.0,12298.0,<1 month
10200.0,798.0,Lejlighed,33.0,1,15,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,20400.0,0.0,A15,København V,1-3 months,22.0,10998.0,<1 month
10900.0,798.0,Lejlighed,33.0,1,10,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Ja,21800.0,0.0,A15,København V,1-3 months,22.0,11698.0,<1 month
16750.0,1100.0,Lejlighed,103.0,4,5,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Nej,Nej,50250.0,16750.0,A20,København S,3+ months,22.0,17850.0,<1 month
15000.0,1350.0,Lejlighed,126.0,4,2,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,45000.0,15000.0,none,Glostrup,1-3 months,22.0,16350.0,<1 month
15750.0,1350.0,Lejlighed,126.0,4,4,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,47250.0,15750.0,none,Glostrup,1-3 months,22.0,17100.0,<1 month
13500.0,1350.0,Lejlighed,117.0,3,1,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,40500.0,13500.0,none,Glostrup,1-3 months,22.0,14850.0,<1 month
9995.0,650.0,Lejlighed,55.0,2,3,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,29985.0,9995.0,none,Ishøj,<1 month,22.0,10645.0,<1 month
15000.0,0.0,Lejlighed,67.0,2,0,Ja,Nej,Nej,Ja,Ja,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,25000.0,15000.0,B,København SV,<1 month,22.0,15000.0,<1 month
6750.0,400.0,Lejlighed,31.0,1,3,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Nej,Nej,Nej,20250.0,6750.0,none,København S,3+ months,22.0,7150.0,<1 month
10000.0,825.0,Lejlighed,38.0,1,4,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Nej,Nej,Nej,30000.0,10000.0,none,København S,<1 month,22.0,10825.0,<1 month
11500.0,925.0,Lejlighed,48.0,1,3,Nej,Nej,Nej,Ja,Ja,Nej,Ja,Ja,Nej,Nej,Nej,Nej,34500.0,11500.0,none,København S,<1 month,22.0,12425.0,<1 month
11300.0,400.0,Lejlighed,56.0,2,8,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,33900.0,11300.0,none,Herlev,<1 month,22.0,11700.0,<1 month
11000.0,800.0,Lejlighed,52.0,2,2,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,Ja,Ikke angivet,15000.0,11000.0,C,Hvidovre,<1 month,22.0,11800.0,<1 month
12995.0,700.0,Lejlighed,66.0,2,0,Nej,Nej,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Ja,38985.0,12995.0,A20,Valby,1-3 months,22.0,13695.0,<1 month
17500.0,1200.0,Lejlighed,114.0,4,0,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Nej,52500.0,17500.0,A15,Bagsværd,<1 month,22.0,18700.0,<1 month
8300.0,450.0,Lejlighed,39.0,1,10,Nej,Nej,Nej,Ja,Nej,Ja,Nej,Ja,Nej,Nej,Nej,Nej,24900.0,8300.0,none,Valby,1-3 months,22.0,8750.0,<1 month
11250.0,950.0,Lejlighed,71.0,2,2,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Nej,Nej,Ja,33750.0,11250.0,A15,Skovlunde,<1 month,22.0,12200.0,<1 month
13000.0,2000.0,Lejlighed,88.0,3,0,Nej,Nej,Nej,Nej,Ja,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,39000.0,13000.0,D,Hellerup,1-3 months,22.0,15000.0,<1 month
24070.0,1200.0,Lejlighed,166.0,5,1,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ikke angivet,72210.0,72210.0,C,København N,1-3 months,22.0,25270.0,<1 month
9500.0,500.0,Lejlighed,31.0,1,1,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Nej,Nej,28500.0,9500.0,A15,København S,1-3 months,22.0,10000.0,<1 month
6550.0,535.0,Lejlighed,38.0,1,0,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,19650.0,6550.0,A15,Valby,<1 month,22.0,7085.0,<1 month
31400.0,1850.0,Lejlighed,157.0,4,3,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ja,Ja,Ikke angivet,Ikke angivet,Nej,Nej,94200.0,31400.0,none,Hellerup,3+ months,22.0,33250.0,<1 month
25100.0,2440.0,Lejlighed,108.0,3,2,Nej,Nej,Nej,Ja,Ikke angivet,Ikke angivet,Ja,Ja,Ikke angivet,Ikke angivet,Nej,Nej,75300.0,25100.0,none,Hellerup,3+ months,22.0,27540.0,<1 month
11000.0,2000.0,Lejlighed,100.0,2,0,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ja,Ja,22000.0,11000.0,A15,Kongens Lyngby,1-3 months,22.0,13000.0,<1 month
14000.0,1150.0,Lejlighed,100.0,4,4,Ja,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,42000.0,14000.0,C,København S,1-3 months,22.0,15150.0,<1 month
15000.0,1500.0,Lejlighed,101.0,3,5,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ja,Ja,45000.0,15000.0,none,Kongens Lyngby,3+ months,22.0,16500.0,<1 month
12950.0,1050.0,Lejlighed,45.0,3,3,Ja,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Ja,25900.0,0.0,A20,Nordhavn,3+ months,22.0,14000.0,<1 month
7600.0,625.0,Lejlighed,41.0,1,0,Ja,Nej,Nej,Nej,Ja,Nej,Nej,Ja,Ikke angivet,Nej,Ikke angivet,Ikke angivet,21775.0,0.0,C,Brønshøj,1-3 months,22.0,8225.0,<1 month
4500.0,0.0,Værelse,12.0,1,0,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ja,Ja,Ikke angivet,Ja,2000.0,0.0,none,Kongens Lyngby,<1 month,23.0,4500.0,<1 month
8900.0,550.0,Lejlighed,35.0,1,2,Nej,Ja,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Nej,26700.0,8900.0,none,København S,1-3 months,23.0,9450.0,<1 month
4500.0,0.0,Værelse,7.0,1,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,9000.0,0.0,C,København N,1-3 months,23.0,4500.0,<1 month
8400.0,1000.0,Værelse,25.0,1,1,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,8400.0,0.0,D,Gentofte,1-3 months,23.0,9400.0,<1 month
21500.0,1000.0,Lejlighed,156.0,3,1,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ja,Ja,Ikke angivet,Ja,64500.0,64500.0,D,København K,1-3 months,23.0,22500.0,<1 month
9000.0,950.0,Værelse,35.0,2,2,Nej,Ja,Nej,Nej,Ja,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ikke angivet,9000.0,27000.0,none,Klampenborg,<1 month,23.0,9950.0,<1 month
4499.0,0.0,Værelse,20.0,1,0,Ja,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,0.0,0.0,F,Kastrup,<1 month,24.0,4499.0,<1 month
13450.0,500.0,Lejlighed,90.0,3,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,Nej,Ja,Ja,Ikke angivet,Ja,13450.0,0.0,C,Hellerup,3+ months,24.0,13950.0,<1 month
16500.0,0.0,Lejlighed,80.0,4,4,Ja,Nej,Ja,Nej,Nej,Nej,Nej,Ja,Ja,Ja,Ikke angivet,Ja,16500.0,0.0,none,København V,1-3 months,24.0,16500.0,<1 month
22995.0,1500.0,Lejlighed,126.0,4,6,Nej,Nej,Ja,Ja,Nej,Nej,Ja,Ja,Ja,Ja,Nej,Ja,68985.0,22995.0,B,København S,1-3 months,25.0,24495.0,<1 month
12000.0,500.0,Lejlighed,56.0,2,1,Ja,Nej,Nej,Nej,Nej,Nej,Ja,Nej,Ikke angivet,Ja,Ikke angivet,Ikke angivet,12000.0,12000.0,C,Kongens Lyngby,<1 month,25.0,12500.0,<1 month
19000.0,833.0,Lejlighed,96.0,3,4,Nej,Nej,Nej,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Ikke angivet,Nej,Ikke angivet,57000.0,0.0,none,København V,3+ months,25.0,19833.0,<1 month
14400.0,800.0,Lejlighed,98.0,3,2,Nej,Ja,Ja,Ja,Ja,Nej,Ja,Ja,Ja,Ja,Nej,Nej,43200.0,14400.0,A20,Søborg,1-3 months,25.0,15200.0,<1 month
